ccode,region,year,country,no,coup,successful,date,combat,id
140,5,1963,Brazil,1,1,0,1963-09-12,1,140_1963
140,5,1964,Brazil,1,1,1,1964-03-30,1,140_1964
140,5,1969,Brazil,1,1,1,1969-08-31,0,140_1969
145,5,1950,Bolivia,1,1,0,1950-07-07,1,145_1950
145,5,1951,Bolivia,1,1,1,1951-05-16,0,145_1951
145,5,1952,Bolivia,1,1,1,1952-04-09,0,145_1952
145,5,1953,Bolivia,1,1,0,1953-01-06,0,145_1953
145,5,1960,Bolivia,1,1,0,1960-03-19,1,145_1960
145,5,1964,Bolivia,1,1,1,1964-11-03,0,145_1964
145,5,1969,Bolivia,1,1,1,1969-09-26,0,145_1969
145,5,1970,Bolivia,1,1,1,1970-10-06,0,145_1970
145,5,1971,Bolivia,1,1,0,1971-01-10,1,145_1971
145,5,1971,Bolivia,2,1,1,1971-08-22,1,145_1971
145,5,1974,Bolivia,1,1,0,1974-06-05,1,145_1974
145,5,1974,Bolivia,2,1,0,1974-11-07,1,145_1974
145,5,1978,Bolivia,1,1,1,1978-07-21,1,145_1978
145,5,1978,Bolivia,2,1,1,1978-11-24,0,145_1978
145,5,1979,Bolivia,1,1,0,1979-10-11,1,145_1979
145,5,1979,Bolivia,2,1,1,1979-11-01,1,145_1979
145,5,1980,Bolivia,1,1,1,1980-07-17,0,145_1980
145,5,1981,Bolivia,1,1,0,1981-05-15,1,145_1981
145,5,1981,Bolivia,2,1,0,1981-05-25,1,145_1981
145,5,1981,Bolivia,3,1,0,1981-06-27,0,145_1981
145,5,1981,Bolivia,4,1,1,1981-08-03,1,145_1981
145,5,1984,Bolivia,1,1,0,1984-06-30,1,145_1984
150,5,1954,Paraguay,1,1,1,1954-05-05,1,150_1954
150,5,1955,Paraguay,1,1,0,1955-12-21,1,150_1955
150,5,1989,Paraguay,1,1,1,1989-02-03,1,150_1989
150,5,1996,Paraguay,1,1,0,1996-04-24,0,150_1996
150,5,2000,Paraguay,1,1,0,2000-05-18,1,150_2000
155,5,1973,Chile,1,1,0,1973-06-29,1,155_1973
155,5,1973,Chile,2,1,1,1973-09-11,0,155_1973
160,5,1951,Argentina,1,1,0,1951-09-28,1,160_1951
160,5,1955,Argentina,1,1,0,1955-06-16,1,160_1955
160,5,1955,Argentina,2,1,1,1955-09-16,1,160_1955
160,5,1955,Argentina,3,1,1,1955-11-13,0,160_1955
160,5,1956,Argentina,1,1,0,1956-06-10,1,160_1956
160,5,1960,Argentina,1,1,0,1960-06-13,1,160_1960
160,5,1960,Argentina,2,1,0,1960-11-30,1,160_1960
160,5,1961,Argentina,1,1,0,1961-08-11,1,160_1961
160,5,1962,Argentina,1,1,1,1962-03-28,0,160_1962
160,5,1962,Argentina,2,1,0,1962-09-19,0,160_1962
160,5,1963,Argentina,1,1,0,1963-04-02,1,160_1963
160,5,1966,Argentina,1,1,1,1966-06-28,0,160_1966
160,5,1970,Argentina,1,1,1,1970-06-08,0,160_1970
160,5,1971,Argentina,1,1,1,1971-03-22,0,160_1971
160,5,1971,Argentina,2,1,0,1971-10-08,1,160_1971
160,5,1975,Argentina,1,1,0,1975-12-18,1,160_1975
160,5,1976,Argentina,1,1,1,1976-03-24,0,160_1976
165,5,1976,Uruguay,1,1,1,1976-06-12,0,165_1976
230,1,1981,Spain,1,1,0,1981-02-23,1,230_1981
235,1,1962,Portugal,1,1,0,1962-01-01,1,235_1962
235,1,1974,Portugal,1,1,0,1974-03-16,1,235_1974
235,1,1974,Portugal,2,1,1,1974-04-25,1,235_1974
235,1,1975,Portugal,1,1,0,1975-03-11,1,235_1975
235,1,1975,Portugal,2,1,0,1975-11-25,1,235_1975
350,1,1967,Greece,1,1,1,1967-04-21,0,350_1967
350,1,1967,Greece,2,1,0,1967-12-13,0,350_1967
350,1,1973,Greece,1,1,1,1973-11-25,0,350_1973
352,1,1974,Cyprus,1,1,0,1974-07-15,1,352_1974
360,1,1989,Romania,1,1,1,1989-12-25,0,360_1989
365,1,1991,Russia,1,1,0,1991-08-18,0,365_1991
373,1,1993,Azerbaijan,1,1,0,1993-06-04,1,373_1993
373,1,1994,Azerbaijan,1,1,0,1994-10-04,0,373_1994
373,1,1995,Azerbaijan,1,1,0,1995-03-13,1,373_1995
403,3,1995,Sao Tome and Principe,1,1,0,1995-08-15,1,403_1995
403,3,2003,Sao Tome and Principe,1,1,1,2003-07-16,1,403_2003
404,3,1980,Guinea-Bissau,1,1,1,1980-11-15,1,404_1980
404,3,1998,Guinea-Bissau,1,1,0,1998-06-07,0,404_1998
404,3,1999,Guinea-Bissau,1,1,1,1999-05-07,1,404_1999
404,3,2000,Guinea-Bissau,1,1,0,2000-11-23,0,404_2000
404,3,2003,Guinea-Bissau,1,1,1,2003-09-14,1,404_2003
404,3,2008,Guinea-Bissau,1,1,0,2008-11-23,1,404_2008
404,3,2010,Guinea-Bissau,1,1,0,2010-04-01,1,404_2010
404,3,2011,Guinea-Bissau,1,1,0,2011-12-12,0,404_2011
404,3,2012,Guinea-Bissau,1,1,1,2012-04-12,0,404_2012
411,3,1969,Equatorial Guinea,1,1,0,1969-03-05,1,411_1969
411,3,1979,Equatorial Guinea,1,1,1,1979-08-03,0,411_1979
420,3,1981,Gambia,1,1,0,1981-07-29,1,420_1981
420,3,1994,Gambia,1,1,1,1994-07-23,1,420_1994
420,3,1994,Gambia,2,1,0,1994-11-11,1,420_1994
420,3,2014,Gambia,1,1,0,2014-12-30,1,420_2014
432,3,1968,Mali,1,1,1,1968-11-19,1,432_1968
432,3,1978,Mali,1,1,0,1978-02-15,0,432_1978
432,3,1991,Mali,1,1,1,1991-03-26,1,432_1991
432,3,1991,Mali,2,1,0,1991-07-14,1,432_1991
432,3,2012,Mali,1,1,1,2012-03-22,1,432_2012
432,3,2012,Mali,2,1,0,2012-05-01,1,432_2012
433,3,1962,Senegal,1,1,0,1962-12-17,0,433_1962
434,3,1963,Benin,1,1,1,1963-10-29,0,434_1963
434,3,1965,Benin,1,1,1,1965-11-29,0,434_1965
434,3,1965,Benin,2,1,1,1965-12-22,0,434_1965
434,3,1967,Benin,1,1,1,1967-12-17,1,434_1967
434,3,1969,Benin,1,1,1,1969-12-10,0,434_1969
434,3,1972,Benin,1,1,0,1972-02-23,1,434_1972
434,3,1972,Benin,2,1,1,1972-10-26,1,434_1972
434,3,1975,Benin,1,1,0,1975-01-21,1,434_1975
434,3,1988,Benin,1,1,0,1988-03-26,1,434_1988
435,3,1978,Mauritania,1,1,1,1978-07-10,0,435_1978
435,3,1979,Mauritania,1,1,1,1979-06-03,0,435_1979
435,3,1980,Mauritania,1,1,1,1980-01-04,0,435_1980
435,3,1982,Mauritania,1,1,0,1982-02-06,1,435_1982
435,3,1984,Mauritania,1,1,1,1984-12-12,1,435_1984
435,3,2003,Mauritania,1,1,0,2003-06-08,1,435_2003
435,3,2005,Mauritania,1,1,1,2005-08-03,1,435_2005
435,3,2008,Mauritania,1,1,1,2008-08-06,0,435_2008
436,3,1974,Niger,1,1,1,1974-04-15,0,436_1974
436,3,1976,Niger,1,1,0,1976-03-15,1,436_1976
436,3,1983,Niger,1,1,0,1983-10-05,1,436_1983
436,3,1996,Niger,1,1,1,1996-01-27,0,436_1996
436,3,1999,Niger,1,1,1,1999-04-09,0,436_1999
436,3,2010,Niger,1,1,1,2010-02-18,1,436_2010
437,3,1999,Ivory Coast,1,1,1,1999-12-24,1,437_1999
437,3,2000,Ivory Coast,1,1,0,2000-09-18,0,437_2000
437,3,2001,Ivory Coast,1,1,0,2001-01-06,1,437_2001
437,3,2002,Ivory Coast,1,1,0,2002-09-19,1,437_2002
438,3,1984,Guinea,1,1,1,1984-04-03,1,438_1984
438,3,1985,Guinea,1,1,0,1985-07-04,1,438_1985
438,3,1996,Guinea,1,1,0,1996-02-03,1,438_1996
438,3,2008,Guinea,1,1,1,2008-12-23,1,438_2008
438,3,2011,Guinea,1,1,0,2011-07-19,1,438_2011
439,3,1966,Burkina Faso,1,1,0,1966-01-03,0,439_1966
439,3,1980,Burkina Faso,1,1,1,1980-11-25,0,439_1980
439,3,1982,Burkina Faso,1,1,1,1982-11-07,1,439_1982
439,3,1983,Burkina Faso,1,1,1,1983-08-04,1,439_1983
439,3,1987,Burkina Faso,1,1,1,1987-10-15,0,439_1987
439,3,2014,Burkina Faso,1,1,1,2014-10-30,0,439_2014
439,3,2015,Burkina Faso,1,1,0,2015-09-17,1,439_2015
450,3,1980,Liberia,1,1,1,1980-04-12,1,450_1980
450,3,1985,Liberia,1,1,0,1985-04-01,1,450_1985
450,3,1985,Liberia,2,1,0,1985-11-12,1,450_1985
450,3,1994,Liberia,1,1,0,1994-09-15,1,450_1994
451,3,1967,Sierra Leone,1,1,0,1967-03-21,0,451_1967
451,3,1967,Sierra Leone,2,1,1,1967-03-23,1,451_1967
451,3,1968,Sierra Leone,1,1,1,1968-04-18,1,451_1968
451,3,1971,Sierra Leone,1,1,0,1971-03-23,0,451_1971
451,3,1987,Sierra Leone,1,1,0,1987-03-23,1,451_1987
451,3,1992,Sierra Leone,1,1,0,1992-04-30,1,451_1992
451,3,1992,Sierra Leone,2,1,1,1992-05-02,0,451_1992
451,3,1995,Sierra Leone,1,1,0,1995-10-02,1,451_1995
451,3,1996,Sierra Leone,1,1,1,1996-01-16,0,451_1996
451,3,1997,Sierra Leone,1,1,1,1997-05-25,1,451_1997
452,3,1966,Ghana,1,1,1,1966-02-24,1,452_1966
452,3,1967,Ghana,1,1,0,1967-04-17,1,452_1967
452,3,1972,Ghana,1,1,1,1972-01-13,0,452_1972
452,3,1978,Ghana,1,1,1,1978-07-05,0,452_1978
452,3,1979,Ghana,1,1,0,1979-05-15,1,452_1979
452,3,1979,Ghana,2,1,1,1979-06-04,1,452_1979
452,3,1981,Ghana,1,1,1,1981-12-31,1,452_1981
452,3,1982,Ghana,1,1,0,1982-11-23,1,452_1982
452,3,1983,Ghana,1,1,0,1983-06-19,1,452_1983
452,3,1984,Ghana,1,1,0,1984-03-23,1,452_1984
461,3,1963,Togo,1,1,1,1963-01-13,1,461_1963
461,3,1967,Togo,1,1,1,1967-01-13,0,461_1967
461,3,1991,Togo,1,1,0,1991-10-01,1,461_1991
461,3,1991,Togo,2,1,0,1991-10-07,1,461_1991
461,3,1991,Togo,3,1,0,1991-11-28,1,461_1991
471,3,1984,Cameroon,1,1,0,1984-04-06,1,471_1984
475,3,1966,Nigeria,1,1,1,1966-01-15,1,475_1966
475,3,1966,Nigeria,2,1,1,1966-07-29,1,475_1966
475,3,1975,Nigeria,1,1,1,1975-07-29,0,475_1975
475,3,1976,Nigeria,1,1,0,1976-02-13,1,475_1976
475,3,1983,Nigeria,1,1,1,1983-12-31,0,475_1983
475,3,1985,Nigeria,1,1,1,1985-08-27,0,475_1985
475,3,1990,Nigeria,1,1,0,1990-04-22,1,475_1990
475,3,1993,Nigeria,1,1,1,1993-11-17,0,475_1993
481,3,1964,Gabon,1,1,0,1964-02-17,1,481_1964
482,3,1966,Central African Republic,1,1,1,1966-01-01,0,482_1966
482,3,1976,Central African Republic,1,1,0,1976-02-05,1,482_1976
482,3,1979,Central African Republic,1,1,1,1979-09-20,1,482_1979
482,3,1981,Central African Republic,1,1,1,1981-09-01,0,482_1981
482,3,2001,Central African Republic,1,1,0,2001-05-28,1,482_2001
482,3,2002,Central African Republic,1,1,0,2002-10-25,1,482_2002
482,3,2003,Central African Republic,1,1,1,2003-03-15,1,482_2003
483,3,1975,Chad,1,1,1,1975-04-13,0,483_1975
483,3,1977,Chad,1,1,0,1977-04-01,1,483_1977
483,3,1989,Chad,1,1,0,1989-04-01,0,483_1989
483,3,1991,Chad,1,1,0,1991-10-13,0,483_1991
483,3,1993,Chad,1,1,0,1993-01-24,1,483_1993
483,3,2004,Chad,1,1,0,2004-05-15,1,483_2004
483,3,2013,Chad,1,1,0,2013-05-01,1,483_2013
484,3,1966,Congo,1,1,0,1966-06-27,1,484_1966
484,3,1968,Congo,1,1,0,1968-08-03,1,484_1968
484,3,1968,Congo,2,1,1,1968-08-30,1,484_1968
484,3,1969,Congo,1,1,0,1969-11-08,1,484_1969
484,3,1970,Congo,1,1,0,1970-03-22,1,484_1970
484,3,1972,Congo,1,1,0,1972-02-22,1,484_1972
490,3,1960,Democratic Republic of the Congo,1,1,1,1960-09-14,0,490_1960
490,3,1965,Democratic Republic of the Congo,1,1,1,1965-11-25,0,490_1965
490,3,2004,Democratic Republic of the Congo,1,1,0,2004-03-28,1,490_2004
490,3,2004,Democratic Republic of the Congo,2,1,0,2004-06-11,1,490_2004
500,3,1971,Uganda,1,1,1,1971-01-25,0,500_1971
500,3,1974,Uganda,1,1,0,1974-03-23,0,500_1974
500,3,1974,Uganda,2,1,0,1974-11-11,1,500_1974
500,3,1980,Uganda,1,1,1,1980-05-11,1,500_1980
500,3,1985,Uganda,1,1,1,1985-07-27,1,500_1985
501,3,1982,Kenya,1,1,0,1982-08-01,1,501_1982
516,3,1965,Burundi,1,1,0,1965-10-18,1,516_1965
516,3,1966,Burundi,1,1,1,1966-07-08,0,516_1966
516,3,1966,Burundi,2,1,1,1966-11-28,0,516_1966
516,3,1976,Burundi,1,1,1,1976-11-01,0,516_1976
516,3,1987,Burundi,1,1,1,1987-09-03,1,516_1987
516,3,1993,Burundi,1,1,0,1993-07-03,1,516_1993
516,3,1993,Burundi,2,1,0,1993-10-21,0,516_1993
516,3,1996,Burundi,1,1,1,1996-07-25,0,516_1996
516,3,2001,Burundi,1,1,0,2001-04-18,1,516_2001
516,3,2001,Burundi,2,1,0,2001-07-22,1,516_2001
516,3,2015,Burundi,1,1,0,2015-05-13,0,516_2015
517,3,1973,Rwanda,1,1,1,1973-07-05,0,517_1973
517,3,1994,Rwanda,1,1,0,1994-04-07,1,517_1994
520,3,1961,Somalia,1,1,0,1961-12-10,1,520_1961
520,3,1969,Somalia,1,1,1,1969-10-21,0,520_1969
520,3,1978,Somalia,1,1,0,1978-04-09,1,520_1978
522,3,2000,Djibouti,1,1,0,2000-12-07,1,522_2000
530,3,1960,Ethiopia,1,1,0,1960-12-14,0,530_1960
530,3,1974,Ethiopia,1,1,1,1974-09-12,0,530_1974
530,3,1977,Ethiopia,1,1,1,1977-02-03,0,530_1977
530,3,1989,Ethiopia,1,1,0,1989-05-16,1,530_1989
540,3,1977,Angola,1,1,0,1977-05-27,1,540_1977
541,3,1975,Mozambique,1,1,0,1975-12-17,1,541_1975
551,3,1980,Zambia,1,1,0,1980-10-16,1,551_1980
551,3,1990,Zambia,1,1,0,1990-06-30,1,551_1990
551,3,1997,Zambia,1,1,0,1997-10-28,1,551_1997
552,3,2017,Zimbabwe,1,1,1,2017-11-15,0,552_2017
570,3,1986,Lesotho,1,1,1,1986-01-20,0,570_1986
570,3,1991,Lesotho,1,1,1,1991-04-30,1,570_1991
570,3,1994,Lesotho,1,1,1,1994-08-17,0,570_1994
570,3,2014,Lesotho,1,1,0,2014-08-30,0,570_2014
572,3,1983,Swaziland,1,1,1,1983-08-10,0,572_1983
580,3,1974,Madagascar,1,1,0,1974-12-31,1,580_1974
580,3,1990,Madagascar,1,1,0,1990-05-13,1,580_1990
580,3,1992,Madagascar,1,1,0,1992-07-29,1,580_1992
580,3,2009,Madagascar,1,1,1,2009-03-17,0,580_2009
580,3,2010,Madagascar,1,1,0,2010-11-17,1,580_2010
581,3,1977,Comoros,1,1,0,1977-06-05,1,581_1977
581,3,1978,Comoros,1,1,1,1978-05-12,0,581_1978
581,3,1985,Comoros,1,1,0,1985-03-08,1,581_1985
581,3,1989,Comoros,1,1,1,1989-11-26,1,581_1989
581,3,1991,Comoros,1,1,0,1991-08-03,1,581_1991
581,3,1992,Comoros,1,1,0,1992-09-26,1,581_1992
581,3,1999,Comoros,1,1,1,1999-04-30,0,581_1999
581,3,2000,Comoros,1,1,0,2000-03-21,1,581_2000
581,3,2001,Comoros,1,1,0,2001-12-20,1,581_2001
591,3,1977,Seychelles,1,1,1,1977-06-05,1,591_1977
591,3,1981,Seychelles,1,1,0,1981-11-18,1,591_1981
591,3,1982,Seychelles,1,1,0,1982-08-18,1,591_1982
600,2,1971,Morocco,1,1,0,1971-07-10,0,600_1971
600,2,1972,Morocco,1,1,0,1972-08-16,0,600_1972
615,2,1964,Algeria,1,1,0,1964-06-30,1,615_1964
615,2,1965,Algeria,1,1,1,1965-06-19,0,615_1965
615,2,1967,Algeria,1,1,0,1967-12-14,0,615_1967
615,2,1992,Algeria,1,1,1,1992-01-11,0,615_1992
616,2,1987,Tunisia,1,1,1,1987-11-07,0,616_1987
620,2,1969,Libya,1,1,1,1969-09-01,1,620_1969
620,2,1969,Libya,2,1,0,1969-12-07,1,620_1969
620,2,1975,Libya,1,1,0,1975-08-04,0,620_1975
620,2,1993,Libya,1,1,0,1993-10-13,1,620_1993
625,2,1958,Sudan,1,1,1,1958-11-17,0,625_1958
625,2,1959,Sudan,1,1,0,1959-03-04,1,625_1959
625,2,1959,Sudan,2,1,0,1959-05-21,1,625_1959
625,2,1959,Sudan,3,1,0,1959-11-09,1,625_1959
625,2,1966,Sudan,1,1,0,1966-12-28,1,625_1966
625,2,1969,Sudan,1,1,1,1969-05-25,1,625_1969
625,2,1971,Sudan,1,1,0,1971-07-19,1,625_1971
625,2,1975,Sudan,1,1,0,1975-09-05,1,625_1975
625,2,1976,Sudan,1,1,0,1976-07-02,1,625_1976
625,2,1977,Sudan,1,1,0,1977-02-03,1,625_1977
625,2,1985,Sudan,1,1,1,1985-04-06,0,625_1985
625,2,1989,Sudan,1,1,1,1989-06-30,1,625_1989
626,2,2013,South Sudan,1,1,0,2013-12-16,1,626_2013
630,2,1953,Iran,1,1,1,1953-08-13,1,630_1953
640,2,1960,Turkey,1,1,1,1960-05-27,1,640_1960
640,2,1962,Turkey,1,1,0,1962-02-22,1,640_1962
640,2,1963,Turkey,1,1,0,1963-05-20,1,640_1963
640,2,1971,Turkey,1,1,1,1971-03-12,0,640_1971
640,2,1980,Turkey,1,1,1,1980-09-10,0,640_1980
640,2,1997,Turkey,1,1,1,1997-02-28,0,640_1997
640,2,2016,Turkey,1,1,0,2016-07-15,1,640_2016
645,2,1958,Iraq,1,1,1,1958-07-14,1,645_1958
645,2,1959,Iraq,1,1,0,1959-03-07,1,645_1959
645,2,1963,Iraq,1,1,1,1963-02-08,1,645_1963
645,2,1963,Iraq,2,1,1,1963-11-18,0,645_1963
645,2,1965,Iraq,1,1,0,1965-09-16,1,645_1965
645,2,1966,Iraq,1,1,0,1966-06-30,1,645_1966
645,2,1968,Iraq,1,1,1,1968-07-17,1,645_1968
645,2,1970,Iraq,1,1,0,1970-01-20,1,645_1970
645,2,1973,Iraq,1,1,0,1973-07-01,1,645_1973
645,2,1995,Iraq,1,1,0,1995-06-15,1,645_1995
651,2,1952,Egypt,1,1,1,1952-07-23,1,651_1952
651,2,2011,Egypt,1,1,1,2011-02-11,0,651_2011
651,2,2013,Egypt,1,1,1,2013-07-03,0,651_2013
652,2,1951,Syria,1,1,1,1951-11-29,0,652_1951
652,2,1954,Syria,1,1,1,1954-02-25,1,652_1954
652,2,1961,Syria,1,1,1,1961-09-28,1,652_1961
652,2,1962,Syria,1,1,1,1962-03-28,0,652_1962
652,2,1963,Syria,1,1,1,1963-03-08,1,652_1963
652,2,1963,Syria,2,1,0,1963-07-18,1,652_1963
652,2,1966,Syria,1,1,1,1966-02-23,0,652_1966
652,2,1966,Syria,2,1,0,1966-09-08,1,652_1966
652,2,1970,Syria,1,1,1,1970-11-13,0,652_1970
652,2,1983,Syria,1,1,0,1983-11-01,0,652_1983
660,2,1961,Lebanon,1,1,0,1961-12-31,1,660_1961
660,2,1976,Lebanon,1,1,0,1976-03-12,1,660_1976
663,2,1957,Jordan,1,1,0,1957-04-13,0,663_1957
663,2,1958,Jordan,1,1,0,1958-01-07,1,663_1958
663,2,1972,Jordan,1,1,0,1972-11-27,1,663_1972
678,2,1955,Yemen Arab Republic,1,1,0,1955-04-02,1,678_1955
678,2,1962,Yemen Arab Republic,1,1,1,1962-09-27,1,678_1962
678,2,1967,Yemen Arab Republic,1,1,1,1967-11-04,1,678_1967
678,2,1974,Yemen Arab Republic,1,1,1,1974-06-13,0,678_1974
678,2,1978,Yemen Arab Republic,1,1,0,1978-10-15,1,678_1978
680,2,1968,Yemen People's Republic,1,1,0,1968-03-20,1,680_1968
680,2,1968,Yemen People's Republic,2,1,0,1968-08-31,1,680_1968
680,2,1969,Yemen People's Republic,1,1,1,1969-06-22,0,680_1969
680,2,1978,Yemen People's Republic,1,1,1,1978-06-26,0,680_1978
680,2,1986,Yemen People's Republic,1,1,1,1986-01-13,0,680_1986
692,2,1981,Bahrain,1,1,0,1981-12-23,0,692_1981
694,2,1972,Qatar,1,1,1,1972-02-22,0,694_1972
694,2,1995,Qatar,1,1,1,1995-06-27,0,694_1995
694,2,1996,Qatar,1,1,0,1996-02-20,1,694_1996
696,2,1972,United Arab Emirates,1,1,0,1972-01-25,1,696_1972
696,2,1987,United Arab Emirates,1,1,0,1987-06-16,1,696_1987
698,2,1970,Oman,1,1,1,1970-07-26,0,698_1970
700,4,1973,Afghanistan,1,1,1,1973-07-17,1,700_1973
700,4,1978,Afghanistan,1,1,1,1978-04-27,1,700_1978
700,4,1990,Afghanistan,1,1,0,1990-03-07,0,700_1990
700,4,1992,Afghanistan,1,1,0,1992-04-15,0,700_1992
732,4,1961,South Korea,1,1,1,1961-05-16,0,732_1961
770,4,1958,Pakistan,1,1,1,1958-10-27,0,770_1958
770,4,1969,Pakistan,1,1,1,1969-03-25,0,770_1969
770,4,1971,Pakistan,1,1,1,1971-12-19,0,770_1971
770,4,1977,Pakistan,1,1,1,1977-07-05,0,770_1977
770,4,1999,Pakistan,1,1,1,1999-10-12,0,770_1999
771,4,1975,Bangladesh,1,1,1,1975-08-15,1,771_1975
