female	male
31	36
49	35
51	53
60	60
62	57
51	37
54	45
64	23
19	70
30	72
56	37
25	22
67	30
43	29
42	35
22	68
36	49
59	50
36	27
40	40
37	43
55	60
64	55
34	63
80	34
58	54
54	53
39	36
19	45
56	23
47	57
40	33
37	27
45	23
66	64
71	66
52	31
18	67
25	26
32	18
32	30
35	46
52	33
73	29
38	72
47	53
25	39
53	36
77	49
39	23
64	36
45	28
29	38
58	31
54	35
31	18
30	19
34	32
56	88
22	46
27	24
60	27
32	56
42	77
57	39
44	36
64	56
45	40
40	36
20	39
42	28
37	51
40	27
73	63
36	35
19	31
57	61
62	64
45	59
47	25
82	38
56	41
77	66
32	24
46	63
48	35
24	64
34	41
58	44
82	37
30	19
45	26
45	47
80	35
33	25
81	79
61	36
36	68
63	19
67	27
40	75
29	34
59	30
48	34
46	36
56	39
41	50
32	51
76	18
37	63
43	87
48	23
73	25
55	23
47	56
60	60
61	35
69	58
54	24
51	60
24	32
35	38
30	26
38	76
41	78
90	82
75	65
32	23
47	67
28	19
33	54
73	37
37	20
35	47
55	25
58	31
26	82
18	27
21	42
25	41
34	71
57	18
41	48
35	28
86	21
62	27
44	62
24	19
25	56
48	64
35	65
79	31
84	61
34	36
74	50
23	42
74	50
75	32
18	40
19	71
31	37
23	54
25	25
32	37
29	27
43	33
45	19
39	66
52	55
27	25
28	33
20	56
23	21
27	63
29	28
61	30
43	29
49	33
78	37
66	44
48	51
21	32
18	31
68	34
26	54
30	20
48	41
74	23
36	51
65	35
40	52
45	56
41	49
33	22
38	36
44	37
70	37
23	39
22	26
65	31
29	25
71	26
44	33
70	22
34	78
20	63
21	59
38	47
45	79
32	70
67	42
45	65
42	37
28	37
69	35
63	27
43	73
70	51
45	40
29	44
32	31
22	37
24	40
45	29
42	54
47	39
64	29
75	53
36	26
35	43
74	40
76	50
81	51
72	24
36	31
48	18
69	36
71	33
21	27
18	19
61	30
30	54
38	27
23	27
61	48
29	55
67	50
81	78
38	63
18	35
30	23
60	27
68	57
61	38
78	74
30	40
73	77
22	52
57	28
59	27
25	20
79	28
30	59
63	54
83	52
29	50
41	18
48	61
33	18
43	19
52	50
33	43
56	70
85	49
45	46
59	67
37	59
36	30
37	25
57	36
27	27
33	32
54	21
63	33
55	36
50	66
47	50
62	36
76	34
74	70
53	33
56	56
21	48
52	40
67	64
26	18
45	78
43	76
28	27
22	69
24	55
23	70
40	30
64	55
59	63
54	65
76	23
74	29
61	35
38	31
29	28
59	40
72	59
47	33
68	28
74	40
49	35
48	39
52	60
32	32
44	28
40	78
65	26
56	39
68	35
70	53
50	71
40	42
44	24
65	40
35	23
76	37
37	19
44	58
47	53
35	30
61	69
64	33
40	75
23	28
44	30
50	57
27	27
58	47
60	18
65	80
38	18
62	21
42	44
53	26
64	37
68	63
33	38
57	24
42	57
64	33
50	32
75	43
49	36
24	42
56	19
43	52
78	49
79	54
51	57
78	74
28	38
87	24
32	25
39	68
66	25
54	48
22	34
63	76
25	41
39	69
29	45
45	49
50	24
41	50
69	34
20	41
56	43
56	43
43	55
18	54
59	57
28	63
44	47
58	25
60	55
38	65
48	63
57	43
49	50
59	44
53	25
52	50
22	21
25	30
47	44
36	22
62	49
26	40
60	26
45	32
54	33
30	31
54	23
65	37
53	42
42	47
19	39
18	29
45	29
69	36
20	50
65	27
64	28
38	25
43	38
44	44
61	35
40	38
58	40
29	27
59	23
63	31
18	45
42	62
34	33
41	55
65	43
52	42
38	30
35	36
59	60
65	19
66	32
19	20
56	40
52	65
57	75
80	54
47	26
52	38
63	39
31	33
49	44
24	51
20	43
51	32
75	35
62	56
38	33
50	31
42	22
30	40
20	45
18	33
37	21
56	53
37	27
65	67
37	74
30	55
18	38
81	NA
47	NA
40	NA
59	NA
64	NA
51	NA
77	NA
44	NA
19	NA
21	NA
23	NA
70	NA
76	NA
43	NA
32	NA
19	NA
91	NA
79	NA
77	NA
67	NA
27	NA
83	NA
34	NA
66	NA
39	NA
82	NA
31	NA
28	NA
39	NA
33	NA
30	NA
55	NA
51	NA
48	NA
68	NA
60	NA
45	NA
77	NA
79	NA
65	NA
60	NA
56	NA
45	NA
57	NA
56	NA
51	NA
78	NA
61	NA
38	NA
56	NA
25	NA
48	NA
28	NA
52	NA
51	NA
35	NA
50	NA
21	NA
64	NA
67	NA
28	NA
67	NA
42	NA
58	NA
45	NA
68	NA
21	NA
20	NA
38	NA
45	NA
36	NA
53	NA
52	NA
49	NA
63	NA
44	NA
20	NA
40	NA
30	NA
28	NA
77	NA
51	NA
35	NA
50	NA
37	NA
60	NA
40	NA
52	NA
53	NA
69	NA
73	NA
52	NA
46	NA
43	NA
56	NA
75	NA
54	NA
55	NA
68	NA
61	NA
37	NA
49	NA
37	NA
63	NA
62	NA
36	NA
34	NA
36	NA
26	NA
28	NA
37	NA
49	NA
49	NA
22	NA
44	NA
71	NA
55	NA
21	NA
21	NA
58	NA
51	NA
68	NA
61	NA
25	NA
37	NA
39	NA
60	NA
60	NA
52	NA
68	NA
30	NA
57	NA
64	NA
25	NA
63	NA
33	NA
52	NA
38	NA
24	NA
38	NA
45	NA
75	NA
28	NA
59	NA
44	NA
72	NA
66	NA
47	NA
73	NA
18	NA
23	NA
24	NA
50	NA
32	NA
35	NA
82	NA
37	NA
27	NA
33	NA
64	NA
27	NA
24	NA
20	NA
22	NA
29	NA
18	NA
29	NA
39	NA
32	NA
74	NA
41	NA
38	NA
78	NA
28	NA
38	NA
26	NA
47	NA
29	NA
35	NA
61	NA
76	NA
62	NA
77	NA
61	NA
76	NA
42	NA
32	NA
77	NA
42	NA
66	NA
52	NA
62	NA
70	NA
87	NA
52	NA
51	NA
73	NA
20	NA
22	NA
32	NA
48	NA
46	NA
34	NA
73	NA
70	NA
25	NA
34	NA
30	NA
40	NA
82	NA
56	NA
61	NA
78	NA
35	NA
31	NA
57	NA
36	NA
26	NA
81	NA
74	NA
84	NA
35	NA
54	NA
63	NA
56	NA
75	NA
37	NA
20	NA
77	NA
81	NA
71	NA
39	NA
39	NA
22	NA
57	NA
53	NA
30	NA
39	NA
36	NA
51	NA
46	NA
57	NA
43	NA
61	NA
28	NA
53	NA
36	NA
62	NA
64	NA
60	NA
59	NA
28	NA
30	NA
54	NA
52	NA
36	NA
49	NA
40	NA
27	NA
44	NA
78	NA
29	NA
25	NA
60	NA
34	NA
27	NA
22	NA
79	NA
65	NA
69	NA
50	NA
44	NA
30	NA
27	NA
40	NA
55	NA
48	NA
40	NA
62	NA
63	NA
24	NA
29	NA
45	NA
74	NA
84	NA
54	NA
64	NA
81	NA
72	NA
82	NA
25	NA
51	NA
38	NA
24	NA
60	NA
36	NA
35	NA
79	NA
40	NA
35	NA
18	NA
57	NA
68	NA
55	NA
43	NA
67	NA
31	NA
52	NA
28	NA
23	NA
35	NA
53	NA
48	NA
43	NA
42	NA
27	NA
63	NA
30	NA
