polityIV_ccode,polityIV_country,year,polity,polity2,id
2,United States,1959,10,10,2_1959
2,United States,1960,10,10,2_1960
2,United States,1961,10,10,2_1961
2,United States,1962,10,10,2_1962
2,United States,1963,10,10,2_1963
2,United States,1964,10,10,2_1964
2,United States,1965,10,10,2_1965
2,United States,1966,10,10,2_1966
2,United States,1967,8,8,2_1967
2,United States,1968,8,8,2_1968
2,United States,1969,8,8,2_1969
2,United States,1970,8,8,2_1970
2,United States,1971,8,8,2_1971
2,United States,1972,8,8,2_1972
2,United States,1973,8,8,2_1973
2,United States,1974,10,10,2_1974
2,United States,1975,10,10,2_1975
2,United States,1976,10,10,2_1976
2,United States,1977,10,10,2_1977
2,United States,1978,10,10,2_1978
2,United States,1979,10,10,2_1979
2,United States,1980,10,10,2_1980
2,United States,1981,10,10,2_1981
2,United States,1982,10,10,2_1982
2,United States,1983,10,10,2_1983
2,United States,1984,10,10,2_1984
2,United States,1985,10,10,2_1985
2,United States,1986,10,10,2_1986
2,United States,1987,10,10,2_1987
2,United States,1988,10,10,2_1988
2,United States,1989,10,10,2_1989
2,United States,1990,10,10,2_1990
2,United States,1991,10,10,2_1991
2,United States,1992,10,10,2_1992
2,United States,1993,10,10,2_1993
2,United States,1994,10,10,2_1994
2,United States,1995,10,10,2_1995
2,United States,1996,10,10,2_1996
2,United States,1997,10,10,2_1997
2,United States,1998,10,10,2_1998
2,United States,1999,10,10,2_1999
2,United States,2000,10,10,2_2000
2,United States,2001,10,10,2_2001
2,United States,2002,10,10,2_2002
2,United States,2003,10,10,2_2003
2,United States,2004,10,10,2_2004
2,United States,2005,10,10,2_2005
2,United States,2006,10,10,2_2006
2,United States,2007,10,10,2_2007
2,United States,2008,10,10,2_2008
2,United States,2009,10,10,2_2009
2,United States,2010,10,10,2_2010
2,United States,2011,10,10,2_2011
2,United States,2012,10,10,2_2012
2,United States,2013,10,10,2_2013
2,United States,2014,10,10,2_2014
2,United States,2015,10,10,2_2015
2,United States,2016,8,8,2_2016
2,United States,2017,8,8,2_2017
2,United States,2018,8,8,2_2018
20,Canada,1867,4,4,20_1867
20,Canada,1868,4,4,20_1868
20,Canada,1869,4,4,20_1869
20,Canada,1870,4,4,20_1870
20,Canada,1871,4,4,20_1871
20,Canada,1872,4,4,20_1872
20,Canada,1873,4,4,20_1873
20,Canada,1874,4,4,20_1874
20,Canada,1875,4,4,20_1875
20,Canada,1876,4,4,20_1876
20,Canada,1877,4,4,20_1877
20,Canada,1878,4,4,20_1878
20,Canada,1879,4,4,20_1879
20,Canada,1880,4,4,20_1880
20,Canada,1881,4,4,20_1881
20,Canada,1882,4,4,20_1882
20,Canada,1883,4,4,20_1883
20,Canada,1884,4,4,20_1884
20,Canada,1885,4,4,20_1885
20,Canada,1886,4,4,20_1886
20,Canada,1887,4,4,20_1887
20,Canada,1888,9,9,20_1888
20,Canada,1889,9,9,20_1889
20,Canada,1890,9,9,20_1890
20,Canada,1891,9,9,20_1891
20,Canada,1892,9,9,20_1892
20,Canada,1893,9,9,20_1893
20,Canada,1894,9,9,20_1894
20,Canada,1895,9,9,20_1895
20,Canada,1896,9,9,20_1896
20,Canada,1897,9,9,20_1897
20,Canada,1898,9,9,20_1898
20,Canada,1899,9,9,20_1899
20,Canada,1900,9,9,20_1900
20,Canada,1901,9,9,20_1901
20,Canada,1902,9,9,20_1902
20,Canada,1903,9,9,20_1903
20,Canada,1904,9,9,20_1904
20,Canada,1905,9,9,20_1905
20,Canada,1906,9,9,20_1906
20,Canada,1907,9,9,20_1907
20,Canada,1908,9,9,20_1908
20,Canada,1909,9,9,20_1909
20,Canada,1910,9,9,20_1910
20,Canada,1911,9,9,20_1911
20,Canada,1912,9,9,20_1912
20,Canada,1913,9,9,20_1913
20,Canada,1914,9,9,20_1914
20,Canada,1915,9,9,20_1915
20,Canada,1916,9,9,20_1916
20,Canada,1917,9,9,20_1917
20,Canada,1918,9,9,20_1918
20,Canada,1919,9,9,20_1919
20,Canada,1920,9,9,20_1920
20,Canada,1921,10,10,20_1921
20,Canada,1922,10,10,20_1922
20,Canada,1923,10,10,20_1923
20,Canada,1924,10,10,20_1924
20,Canada,1925,10,10,20_1925
20,Canada,1926,10,10,20_1926
20,Canada,1927,10,10,20_1927
20,Canada,1928,10,10,20_1928
20,Canada,1929,10,10,20_1929
20,Canada,1930,10,10,20_1930
20,Canada,1931,10,10,20_1931
20,Canada,1932,10,10,20_1932
20,Canada,1933,10,10,20_1933
20,Canada,1934,10,10,20_1934
20,Canada,1935,10,10,20_1935
20,Canada,1936,10,10,20_1936
20,Canada,1937,10,10,20_1937
20,Canada,1938,10,10,20_1938
20,Canada,1939,10,10,20_1939
20,Canada,1940,10,10,20_1940
20,Canada,1941,10,10,20_1941
20,Canada,1942,10,10,20_1942
20,Canada,1943,10,10,20_1943
20,Canada,1944,10,10,20_1944
20,Canada,1945,10,10,20_1945
20,Canada,1946,10,10,20_1946
20,Canada,1947,10,10,20_1947
20,Canada,1948,10,10,20_1948
20,Canada,1949,10,10,20_1949
20,Canada,1950,10,10,20_1950
20,Canada,1951,10,10,20_1951
20,Canada,1952,10,10,20_1952
20,Canada,1953,10,10,20_1953
20,Canada,1954,10,10,20_1954
20,Canada,1955,10,10,20_1955
20,Canada,1956,10,10,20_1956
20,Canada,1957,10,10,20_1957
20,Canada,1958,10,10,20_1958
20,Canada,1959,10,10,20_1959
20,Canada,1960,10,10,20_1960
20,Canada,1961,10,10,20_1961
20,Canada,1962,10,10,20_1962
20,Canada,1963,10,10,20_1963
20,Canada,1964,10,10,20_1964
20,Canada,1965,10,10,20_1965
20,Canada,1966,10,10,20_1966
20,Canada,1967,10,10,20_1967
20,Canada,1968,10,10,20_1968
20,Canada,1969,10,10,20_1969
20,Canada,1970,10,10,20_1970
20,Canada,1971,10,10,20_1971
20,Canada,1972,10,10,20_1972
20,Canada,1973,10,10,20_1973
20,Canada,1974,10,10,20_1974
20,Canada,1975,10,10,20_1975
20,Canada,1976,10,10,20_1976
20,Canada,1977,10,10,20_1977
20,Canada,1978,10,10,20_1978
20,Canada,1979,10,10,20_1979
20,Canada,1980,10,10,20_1980
20,Canada,1981,10,10,20_1981
20,Canada,1982,10,10,20_1982
20,Canada,1983,10,10,20_1983
20,Canada,1984,10,10,20_1984
20,Canada,1985,10,10,20_1985
20,Canada,1986,10,10,20_1986
20,Canada,1987,10,10,20_1987
20,Canada,1988,10,10,20_1988
20,Canada,1989,10,10,20_1989
20,Canada,1990,10,10,20_1990
20,Canada,1991,10,10,20_1991
20,Canada,1992,10,10,20_1992
20,Canada,1993,10,10,20_1993
20,Canada,1994,10,10,20_1994
20,Canada,1995,10,10,20_1995
20,Canada,1996,10,10,20_1996
20,Canada,1997,10,10,20_1997
20,Canada,1998,10,10,20_1998
20,Canada,1999,10,10,20_1999
20,Canada,2000,10,10,20_2000
20,Canada,2001,10,10,20_2001
20,Canada,2002,10,10,20_2002
20,Canada,2003,10,10,20_2003
20,Canada,2004,10,10,20_2004
20,Canada,2005,10,10,20_2005
20,Canada,2006,10,10,20_2006
20,Canada,2007,10,10,20_2007
20,Canada,2008,10,10,20_2008
20,Canada,2009,10,10,20_2009
20,Canada,2010,10,10,20_2010
20,Canada,2011,10,10,20_2011
20,Canada,2012,10,10,20_2012
20,Canada,2013,10,10,20_2013
20,Canada,2014,10,10,20_2014
20,Canada,2015,10,10,20_2015
20,Canada,2016,10,10,20_2016
20,Canada,2017,10,10,20_2017
20,Canada,2018,10,10,20_2018
40,Cuba,1902,3,3,40_1902
40,Cuba,1903,3,3,40_1903
40,Cuba,1904,3,3,40_1904
40,Cuba,1905,3,3,40_1905
40,Cuba,1906,3,3,40_1906
40,Cuba,1907,3,3,40_1907
40,Cuba,1908,3,3,40_1908
40,Cuba,1909,3,3,40_1909
40,Cuba,1910,3,3,40_1910
40,Cuba,1911,3,3,40_1911
40,Cuba,1912,3,3,40_1912
40,Cuba,1913,3,3,40_1913
40,Cuba,1914,3,3,40_1914
40,Cuba,1915,3,3,40_1915
40,Cuba,1916,3,3,40_1916
40,Cuba,1917,3,3,40_1917
40,Cuba,1918,3,3,40_1918
40,Cuba,1919,3,3,40_1919
40,Cuba,1920,3,3,40_1920
40,Cuba,1921,3,3,40_1921
40,Cuba,1922,3,3,40_1922
40,Cuba,1923,3,3,40_1923
40,Cuba,1924,3,3,40_1924
40,Cuba,1925,3,3,40_1925
40,Cuba,1926,3,3,40_1926
40,Cuba,1927,3,3,40_1927
40,Cuba,1928,1,1,40_1928
40,Cuba,1929,1,1,40_1929
40,Cuba,1930,1,1,40_1930
40,Cuba,1931,1,1,40_1931
40,Cuba,1932,1,1,40_1932
40,Cuba,1933,3,3,40_1933
40,Cuba,1934,3,3,40_1934
40,Cuba,1935,3,3,40_1935
40,Cuba,1936,3,3,40_1936
40,Cuba,1937,3,3,40_1937
40,Cuba,1938,3,3,40_1938
40,Cuba,1939,3,3,40_1939
40,Cuba,1940,3,3,40_1940
40,Cuba,1941,3,3,40_1941
40,Cuba,1942,3,3,40_1942
40,Cuba,1943,3,3,40_1943
40,Cuba,1944,3,3,40_1944
40,Cuba,1945,3,3,40_1945
40,Cuba,1946,3,3,40_1946
40,Cuba,1947,3,3,40_1947
40,Cuba,1948,3,3,40_1948
40,Cuba,1949,3,3,40_1949
40,Cuba,1950,3,3,40_1950
40,Cuba,1951,3,3,40_1951
40,Cuba,1952,-88,0,40_1952
40,Cuba,1953,-88,-3,40_1953
40,Cuba,1954,-88,-6,40_1954
40,Cuba,1955,-9,-9,40_1955
40,Cuba,1956,-9,-9,40_1956
40,Cuba,1957,-9,-9,40_1957
40,Cuba,1958,-9,-9,40_1958
40,Cuba,1959,-77,0,40_1959
40,Cuba,1960,-88,-4,40_1960
40,Cuba,1961,-7,-7,40_1961
40,Cuba,1962,-7,-7,40_1962
40,Cuba,1963,-7,-7,40_1963
40,Cuba,1964,-7,-7,40_1964
40,Cuba,1965,-7,-7,40_1965
40,Cuba,1966,-7,-7,40_1966
40,Cuba,1967,-7,-7,40_1967
40,Cuba,1968,-7,-7,40_1968
40,Cuba,1969,-7,-7,40_1969
40,Cuba,1970,-7,-7,40_1970
40,Cuba,1971,-7,-7,40_1971
40,Cuba,1972,-7,-7,40_1972
40,Cuba,1973,-7,-7,40_1973
40,Cuba,1974,-7,-7,40_1974
40,Cuba,1975,-7,-7,40_1975
40,Cuba,1976,-7,-7,40_1976
40,Cuba,1977,-7,-7,40_1977
40,Cuba,1978,-7,-7,40_1978
40,Cuba,1979,-7,-7,40_1979
40,Cuba,1980,-7,-7,40_1980
40,Cuba,1981,-7,-7,40_1981
40,Cuba,1982,-7,-7,40_1982
40,Cuba,1983,-7,-7,40_1983
40,Cuba,1984,-7,-7,40_1984
40,Cuba,1985,-7,-7,40_1985
40,Cuba,1986,-7,-7,40_1986
40,Cuba,1987,-7,-7,40_1987
40,Cuba,1988,-7,-7,40_1988
40,Cuba,1989,-7,-7,40_1989
40,Cuba,1990,-7,-7,40_1990
40,Cuba,1991,-7,-7,40_1991
40,Cuba,1992,-7,-7,40_1992
40,Cuba,1993,-7,-7,40_1993
40,Cuba,1994,-7,-7,40_1994
40,Cuba,1995,-7,-7,40_1995
40,Cuba,1996,-7,-7,40_1996
40,Cuba,1997,-7,-7,40_1997
40,Cuba,1998,-7,-7,40_1998
40,Cuba,1999,-7,-7,40_1999
40,Cuba,2000,-7,-7,40_2000
40,Cuba,2001,-7,-7,40_2001
40,Cuba,2002,-7,-7,40_2002
40,Cuba,2003,-7,-7,40_2003
40,Cuba,2004,-7,-7,40_2004
40,Cuba,2005,-7,-7,40_2005
40,Cuba,2006,-7,-7,40_2006
40,Cuba,2007,-7,-7,40_2007
40,Cuba,2008,-7,-7,40_2008
40,Cuba,2009,-7,-7,40_2009
40,Cuba,2010,-7,-7,40_2010
40,Cuba,2011,-7,-7,40_2011
40,Cuba,2012,-7,-7,40_2012
40,Cuba,2013,-7,-7,40_2013
40,Cuba,2014,-7,-7,40_2014
40,Cuba,2015,-7,-7,40_2015
40,Cuba,2016,-7,-7,40_2016
40,Cuba,2017,-7,-7,40_2017
40,Cuba,2018,-5,-5,40_2018
41,Haiti,1820,-3,-3,41_1820
41,Haiti,1821,-3,-3,41_1821
41,Haiti,1822,-3,-3,41_1822
41,Haiti,1823,-3,-3,41_1823
41,Haiti,1824,-3,-3,41_1824
41,Haiti,1825,-3,-3,41_1825
41,Haiti,1826,-3,-3,41_1826
41,Haiti,1827,-3,-3,41_1827
41,Haiti,1828,-3,-3,41_1828
41,Haiti,1829,-3,-3,41_1829
41,Haiti,1830,-3,-3,41_1830
41,Haiti,1831,-3,-3,41_1831
41,Haiti,1832,-3,-3,41_1832
41,Haiti,1833,-3,-3,41_1833
41,Haiti,1834,-3,-3,41_1834
41,Haiti,1835,-3,-3,41_1835
41,Haiti,1836,-3,-3,41_1836
41,Haiti,1837,-3,-3,41_1837
41,Haiti,1838,-3,-3,41_1838
41,Haiti,1839,-3,-3,41_1839
41,Haiti,1840,-3,-3,41_1840
41,Haiti,1841,-3,-3,41_1841
41,Haiti,1842,-3,-3,41_1842
41,Haiti,1843,-3,-3,41_1843
41,Haiti,1844,-3,-3,41_1844
41,Haiti,1845,-3,-3,41_1845
41,Haiti,1846,-3,-3,41_1846
41,Haiti,1847,-3,-3,41_1847
41,Haiti,1848,-3,-3,41_1848
41,Haiti,1849,-3,-3,41_1849
41,Haiti,1850,-3,-3,41_1850
41,Haiti,1851,-3,-3,41_1851
41,Haiti,1852,-3,-3,41_1852
41,Haiti,1853,-3,-3,41_1853
41,Haiti,1854,-3,-3,41_1854
41,Haiti,1855,-3,-3,41_1855
41,Haiti,1856,-3,-3,41_1856
41,Haiti,1857,-3,-3,41_1857
41,Haiti,1858,-3,-3,41_1858
41,Haiti,1859,-3,-3,41_1859
41,Haiti,1860,-3,-3,41_1860
41,Haiti,1861,-3,-3,41_1861
41,Haiti,1862,-3,-3,41_1862
41,Haiti,1863,-3,-3,41_1863
41,Haiti,1864,-3,-3,41_1864
41,Haiti,1865,-3,-3,41_1865
41,Haiti,1866,-3,-3,41_1866
41,Haiti,1867,-3,-3,41_1867
41,Haiti,1868,-3,-3,41_1868
41,Haiti,1869,-3,-3,41_1869
41,Haiti,1870,-3,-3,41_1870
41,Haiti,1871,-3,-3,41_1871
41,Haiti,1872,-3,-3,41_1872
41,Haiti,1873,-3,-3,41_1873
41,Haiti,1874,-3,-3,41_1874
41,Haiti,1875,-3,-3,41_1875
41,Haiti,1876,-3,-3,41_1876
41,Haiti,1877,-3,-3,41_1877
41,Haiti,1878,-3,-3,41_1878
41,Haiti,1879,-3,-3,41_1879
41,Haiti,1880,-3,-3,41_1880
41,Haiti,1881,-3,-3,41_1881
41,Haiti,1882,-3,-3,41_1882
41,Haiti,1883,-3,-3,41_1883
41,Haiti,1884,-3,-3,41_1884
41,Haiti,1885,-3,-3,41_1885
41,Haiti,1886,-3,-3,41_1886
41,Haiti,1887,-3,-3,41_1887
41,Haiti,1888,-3,-3,41_1888
41,Haiti,1889,-3,-3,41_1889
41,Haiti,1890,-3,-3,41_1890
41,Haiti,1891,-3,-3,41_1891
41,Haiti,1892,-3,-3,41_1892
41,Haiti,1893,-3,-3,41_1893
41,Haiti,1894,-3,-3,41_1894
41,Haiti,1895,-3,-3,41_1895
41,Haiti,1896,-3,-3,41_1896
41,Haiti,1897,-3,-3,41_1897
41,Haiti,1898,-3,-3,41_1898
41,Haiti,1899,-3,-3,41_1899
41,Haiti,1900,-3,-3,41_1900
41,Haiti,1901,-3,-3,41_1901
41,Haiti,1902,-3,-3,41_1902
41,Haiti,1903,-3,-3,41_1903
41,Haiti,1904,-3,-3,41_1904
41,Haiti,1905,-3,-3,41_1905
41,Haiti,1906,-3,-3,41_1906
41,Haiti,1907,-3,-3,41_1907
41,Haiti,1908,-3,-3,41_1908
41,Haiti,1909,-3,-3,41_1909
41,Haiti,1910,-3,-3,41_1910
41,Haiti,1911,-3,-3,41_1911
41,Haiti,1912,-3,-3,41_1912
41,Haiti,1913,-3,-3,41_1913
41,Haiti,1914,-3,-3,41_1914
41,Haiti,1915,-66,NA,41_1915
41,Haiti,1916,-66,NA,41_1916
41,Haiti,1917,-66,NA,41_1917
41,Haiti,1918,2,2,41_1918
41,Haiti,1919,2,2,41_1919
41,Haiti,1920,2,2,41_1920
41,Haiti,1921,2,2,41_1921
41,Haiti,1922,2,2,41_1922
41,Haiti,1923,2,2,41_1923
41,Haiti,1924,2,2,41_1924
41,Haiti,1925,2,2,41_1925
41,Haiti,1926,2,2,41_1926
41,Haiti,1927,2,2,41_1927
41,Haiti,1928,2,2,41_1928
41,Haiti,1929,2,2,41_1929
41,Haiti,1930,2,2,41_1930
41,Haiti,1931,2,2,41_1931
41,Haiti,1932,2,2,41_1932
41,Haiti,1933,2,2,41_1933
41,Haiti,1934,2,2,41_1934
41,Haiti,1935,0,0,41_1935
41,Haiti,1936,0,0,41_1936
41,Haiti,1937,0,0,41_1937
41,Haiti,1938,0,0,41_1938
41,Haiti,1939,0,0,41_1939
41,Haiti,1940,0,0,41_1940
41,Haiti,1941,0,0,41_1941
41,Haiti,1942,0,0,41_1942
41,Haiti,1943,0,0,41_1943
41,Haiti,1944,0,0,41_1944
41,Haiti,1945,0,0,41_1945
41,Haiti,1946,-88,-1,41_1946
41,Haiti,1947,-88,-2,41_1947
41,Haiti,1948,-88,-3,41_1948
41,Haiti,1949,-88,-4,41_1949
41,Haiti,1950,-5,-5,41_1950
41,Haiti,1951,-5,-5,41_1951
41,Haiti,1952,-5,-5,41_1952
41,Haiti,1953,-5,-5,41_1953
41,Haiti,1954,-5,-5,41_1954
41,Haiti,1955,-5,-5,41_1955
41,Haiti,1956,-5,-5,41_1956
41,Haiti,1957,-5,-5,41_1957
41,Haiti,1958,-8,-8,41_1958
41,Haiti,1959,-8,-8,41_1959
41,Haiti,1960,-8,-8,41_1960
41,Haiti,1961,-9,-9,41_1961
41,Haiti,1962,-9,-9,41_1962
41,Haiti,1963,-9,-9,41_1963
41,Haiti,1964,-9,-9,41_1964
41,Haiti,1965,-9,-9,41_1965
41,Haiti,1966,-9,-9,41_1966
41,Haiti,1967,-9,-9,41_1967
41,Haiti,1968,-9,-9,41_1968
41,Haiti,1969,-9,-9,41_1969
41,Haiti,1970,-9,-9,41_1970
41,Haiti,1971,-10,-10,41_1971
41,Haiti,1972,-10,-10,41_1972
41,Haiti,1973,-10,-10,41_1973
41,Haiti,1974,-10,-10,41_1974
41,Haiti,1975,-10,-10,41_1975
41,Haiti,1976,-10,-10,41_1976
41,Haiti,1977,-9,-9,41_1977
41,Haiti,1978,-9,-9,41_1978
41,Haiti,1979,-9,-9,41_1979
41,Haiti,1980,-9,-9,41_1980
41,Haiti,1981,-9,-9,41_1981
41,Haiti,1982,-9,-9,41_1982
41,Haiti,1983,-9,-9,41_1983
41,Haiti,1984,-9,-9,41_1984
41,Haiti,1985,-9,-9,41_1985
41,Haiti,1986,-88,-8,41_1986
41,Haiti,1987,-88,-8,41_1987
41,Haiti,1988,-7,-7,41_1988
41,Haiti,1989,-6,-6,41_1989
41,Haiti,1990,7,7,41_1990
41,Haiti,1991,-7,-7,41_1991
41,Haiti,1992,-7,-7,41_1992
41,Haiti,1993,-7,-7,41_1993
41,Haiti,1994,7,7,41_1994
41,Haiti,1995,7,7,41_1995
41,Haiti,1996,7,7,41_1996
41,Haiti,1997,7,7,41_1997
41,Haiti,1998,7,7,41_1998
41,Haiti,1999,-88,2,41_1999
41,Haiti,2000,-2,-2,41_2000
41,Haiti,2001,-2,-2,41_2001
41,Haiti,2002,-2,-2,41_2002
41,Haiti,2003,-2,-2,41_2003
41,Haiti,2004,-88,0,41_2004
41,Haiti,2005,-88,3,41_2005
41,Haiti,2006,5,5,41_2006
41,Haiti,2007,5,5,41_2007
41,Haiti,2008,5,5,41_2008
41,Haiti,2009,5,5,41_2009
41,Haiti,2010,-77,0,41_2010
41,Haiti,2011,-77,0,41_2011
41,Haiti,2012,-77,0,41_2012
41,Haiti,2013,-77,0,41_2013
41,Haiti,2014,-77,0,41_2014
41,Haiti,2015,-77,0,41_2015
41,Haiti,2016,-88,5,41_2016
41,Haiti,2017,5,5,41_2017
41,Haiti,2018,5,5,41_2018
42,Dominican Republic,1844,-3,-3,42_1844
42,Dominican Republic,1845,-3,-3,42_1845
42,Dominican Republic,1846,-3,-3,42_1846
42,Dominican Republic,1847,-3,-3,42_1847
42,Dominican Republic,1848,-3,-3,42_1848
42,Dominican Republic,1849,-3,-3,42_1849
42,Dominican Republic,1850,-3,-3,42_1850
42,Dominican Republic,1851,-3,-3,42_1851
42,Dominican Republic,1852,-3,-3,42_1852
42,Dominican Republic,1853,-3,-3,42_1853
42,Dominican Republic,1854,-3,-3,42_1854
42,Dominican Republic,1855,-3,-3,42_1855
42,Dominican Republic,1856,-3,-3,42_1856
42,Dominican Republic,1857,-3,-3,42_1857
42,Dominican Republic,1858,-3,-3,42_1858
42,Dominican Republic,1859,-3,-3,42_1859
42,Dominican Republic,1860,-3,-3,42_1860
42,Dominican Republic,1861,-77,0,42_1861
42,Dominican Republic,1862,-77,0,42_1862
42,Dominican Republic,1863,-77,0,42_1863
42,Dominican Republic,1864,-77,0,42_1864
42,Dominican Republic,1865,-3,-3,42_1865
42,Dominican Republic,1866,-3,-3,42_1866
42,Dominican Republic,1867,-3,-3,42_1867
42,Dominican Republic,1868,-3,-3,42_1868
42,Dominican Republic,1869,-3,-3,42_1869
42,Dominican Republic,1870,-3,-3,42_1870
42,Dominican Republic,1871,-3,-3,42_1871
42,Dominican Republic,1872,-3,-3,42_1872
42,Dominican Republic,1873,-3,-3,42_1873
42,Dominican Republic,1874,-3,-3,42_1874
42,Dominican Republic,1875,-3,-3,42_1875
42,Dominican Republic,1876,-3,-3,42_1876
42,Dominican Republic,1877,-3,-3,42_1877
42,Dominican Republic,1878,-3,-3,42_1878
42,Dominican Republic,1879,-3,-3,42_1879
42,Dominican Republic,1880,-3,-3,42_1880
42,Dominican Republic,1881,-3,-3,42_1881
42,Dominican Republic,1882,-3,-3,42_1882
42,Dominican Republic,1883,-3,-3,42_1883
42,Dominican Republic,1884,-3,-3,42_1884
42,Dominican Republic,1885,-3,-3,42_1885
42,Dominican Republic,1886,-3,-3,42_1886
